Number	Use (Fraction)
80	0.3239361195980507
79	0.3077035470602223
29	0.30342988668438586
36	0.2974357882443197
22	0.2957300235598317
62	0.29316212786848334
27	0.2922928156753839
26	0.2863133285737164
2	0.285473176215523
49	0.285473176215523
71	0.28546226474392916
3	0.2846148071168105
6	0.28206158480520377
12	0.28206158480520377
70	0.2811886043680927
4	0.27861346544916216
37	0.27778792442936734
67	0.27692585546385007
45	0.2735142640535309
54	0.2735142640535309
